Day Indexes,Japan,Italy(offset:43days),US(offset:35days),Spain(offset:36days),Germany(offset:35days),France(offset:34days),Iran(offset:40days)
04/14/20,7645,2036,959,1073,1457,2284,3513
04/15/20,8100,2502,1281,1695,1908,2284,4747
04/16/20,8626,3089,1663,2277,2078,3667,5823
04/17/20,9787,3858,2179,2277,3675,4480,6566
04/18/20,10296,4636,2726,5232,4585,4513,7161
04/19/20,10797,5883,3499,6391,5795,6650,
04/20/20,10797,7375,4632,7798,7272,7683,9000
04/21/20,11135,9172,6421,9942,9257,9052,10075
04/22/20,11512,10149,7786,11748,12327,10886,11364
04/23/20,12368,12462,13680,13910,15320,12632,12729
04/24/20,,12462,19101,17963,19848,14308,13938
04/25/20,,17660,25514,20410,22213,16214,14991
04/26/20,,21157,33848,25374,24873,20123,16169
04/27/20,,24747,43663,28603,29056,22622,17361
04/28/20,,27980,53736,35136,32986,25600,18407
04/29/20,,31506,65778,39885,37323,29551,19644
04/30/20,,35713,83836,49515,43938,33402,20610
05/01/20,,41035,101657,57786,50871,38105,21638
05/02/20,,47021,121465,65719,57695,40708,23049
05/03/20,,53578,140909,73235,62095,45170,24811
05/04/20,,59138,161831,80110,66885,52827,27017
05/05/20,,63927,188172,87956,71808,57749,29406
05/06/20,,69176,213372,95923,77872,59929,32332
05/07/20,,74386,243599,104118,84794,65202,35408
05/08/20,,80589,275586,112065,91159,90848,38309
05/09/20,,86498,308853,119199,96092,93773,41495
05/10/20,,92472,337072,126168,100123,98963,44605
05/11/20,,97689,366667,131646,103374,110065,47593
05/12/20,,101739,396223,136675,107663,113959,50468
05/13/20,,105792,429052,141942,113296,118781,53183
05/14/20,,110574,461437,148220,118181,125931,55743
